prot_00001	FIG00066425	308	45	308	DNA polymerase III beta subunit (EC 2.7.7.7)
prot_00948	FIG00132586	47	9	47	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
prot_00949	FIG00024851	143	22	143	Transmembrane component of general energizing module of ECF transporters
prot_00950	FIG00024851	18	4	19	Transmembrane component of general energizing module of ECF transporters
prot_00951	FIG00013638	228	35	228	ATPase component of general energizing module of ECF transporters
prot_00952	FIG00013638	179	28	179	ATPase component of general energizing module of ECF transporters
prot_00953	FIG00023369	372	66	372	Chaperone protein DnaK
prot_00955	FIG00946336	77	12	77	Permease
prot_00956	FIG00946336	37	6	37	Permease
prot_00957	FIG00946336	32	5	32	Permease
prot_00958	FIG00835340	403	58	403	FIG00835342: hypothetical protein
prot_00959	FIG00835340	303	44	303	FIG00835342: hypothetical protein
prot_00960	FIG00835340	47	7	47	FIG00835342: hypothetical protein
prot_00961	FIG00835340	94	14	94	FIG00835342: hypothetical protein
prot_00963	FIG00835340	170	26	170	FIG00835342: hypothetical protein
prot_00964	FIG00835340	38	6	38	FIG00835342: hypothetical protein
prot_00965	FIG00835340	38	7	38	FIG00835342: hypothetical protein
prot_00966	FIG00835340	139	21	139	FIG00835342: hypothetical protein
prot_00967	FIG00835340	119	18	119	FIG00835342: hypothetical protein
prot_00968	FIG00835340	61	9	61	FIG00835342: hypothetical protein
prot_00969	FIG00835340	84	14	84	FIG00835342: hypothetical protein
prot_00971	FIG00835340	283	41	283	FIG00835342: hypothetical protein
prot_00972	FIG00835340	52	8	52	FIG00835342: hypothetical protein
prot_00973	FIG00835340	51	9	51	FIG00835342: hypothetical protein
prot_00974	FIG00835340	65	9	65	FIG00835342: hypothetical protein
prot_00975	FIG00835340	71	13	72	FIG00835342: hypothetical protein
prot_00976	FIG00835340	147	24	148	FIG00835342: hypothetical protein
prot_00977	FIG00835340	114	15	114	FIG00835342: hypothetical protein
prot_00978	FIG00835340	41	7	43	FIG00835342: hypothetical protein
prot_00979	FIG00834916	86	13	86	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)
prot_00980	FIG00834916	71	11	71	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)
prot_00981	FIG00834916	121	18	121	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)
prot_00982	FIG00835296	264	39	265	FIG00835298: hypothetical protein
prot_00983	FIG00835296	50	8	50	FIG00835298: hypothetical protein
prot_00984	FIG00835296	64	10	64	FIG00835298: hypothetical protein
prot_00985	FIG00835296	476	69	477	FIG00835298: hypothetical protein
prot_00987	FIG00835296	85	12	85	FIG00835298: hypothetical protein
prot_00988	FIG00833880	170	24	170	COG0596: Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)
prot_00989	FIG00833880	25	4	25	COG0596: Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)
prot_00990	FIG00000148	171	24	171	SSU ribosomal protein S4p (S9e)
prot_00991	FIG00835998	263	40	263	cytadherence accessory protein HMW1
prot_00992	FIG00835998	340	56	340	cytadherence accessory protein HMW1
prot_00993	FIG00835998	87	14	87	cytadherence accessory protein HMW1
prot_00994	FIG00051957	66	10	66	Substrate-specific component FolT of folate ECF transporter
prot_00995	FIG00051957	38	5	38	Substrate-specific component FolT of folate ECF transporter
prot_00996	FIG00051957	74	10	74	Substrate-specific component FolT of folate ECF transporter
prot_00997	FIG00835370	198	29	198	FIG00835371: hypothetical protein
prot_00998	FIG00835370	153	24	153	FIG00835371: hypothetical protein
prot_00999	FIG00106663	189	28	189	DNA polymerase III delta subunit (EC 2.7.7.7)
prot_01000	FIG00835782	30	5	30	competence locus operon protein 3 homolog; similar to Swiss-Prot Accession Number P39695, from B. subtilis
prot_01001	FIG00835782	82	12	82	competence locus operon protein 3 homolog; similar to Swiss-Prot Accession Number P39695, from B. subtilis
prot_01002	FIG00835782	35	5	35	competence locus operon protein 3 homolog; similar to Swiss-Prot Accession Number P39695, from B. subtilis
prot_01003	FIG00835826	70	10	70	FIG00835827: hypothetical protein
prot_01004	FIG00835826	61	9	61	FIG00835827: hypothetical protein
prot_01005	FIG00835826	357	56	357	FIG00835827: hypothetical protein
prot_01006	FIG00034926	167	28	167	Twitching motility protein PilT
prot_01008	FIG00835778	142	22	142	FIG00835782: hypothetical protein
prot_01009	FIG00835406	66	10	66	FIG00835407: hypothetical protein
prot_01010	FIG00835406	119	20	119	FIG00835407: hypothetical protein
prot_01011	FIG00833973	153	23	153	FIG00833974: hypothetical protein
prot_01012	FIG00833973	169	25	169	FIG00833974: hypothetical protein
prot_01013	FIG00833973	125	18	125	FIG00833974: hypothetical protein
prot_01014	FIG00833973	107	15	107	FIG00833974: hypothetical protein
prot_01016	FIG00833973	68	10	68	FIG00833974: hypothetical protein
prot_01017	FIG00000736	90	14	90	Potassium uptake protein TrkH
prot_01018	FIG00000736	182	28	182	Potassium uptake protein TrkH
prot_01019	FIG00000736	88	14	88	Potassium uptake protein TrkH
prot_01020	FIG00000838	195	28	195	Trk system potassium uptake protein TrkA
prot_01026	FIG00836492	54	9	54	FIG00836494: hypothetical protein
prot_01029	FIG00836305	56	8	56	FIG00836312: hypothetical protein
prot_01030	FIG00836305	83	11	83	FIG00836312: hypothetical protein
prot_01031	FIG00135469	259	40	259	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)
prot_01032	FIG01328543	224	34	224	DegV family protein
prot_01033	FIG00008701	213	30	213	Triacylglycerol lipase (EC 3.1.1.3)
prot_01034	FIG01257392	856	126	856	FIG01257406: hypothetical protein
prot_01035	FIG00129616	118	17	118	GTP-binding protein EngA
prot_01036	FIG00129616	217	33	217	GTP-binding protein EngA
prot_01037	FIG00041008	163	26	163	Cytidylate kinase (EC 2.7.4.25)
prot_01038	FIG00833966	123	19	123	FIG00833967: hypothetical protein
prot_01039	FIG00000859	174	27	174	FIG000859: hypothetical protein YebC
prot_01040	FIG00553659	111	17	111	FMN-dependent NADH-azoreductase
prot_01041	FIG00000129	133	20	133	Valyl-tRNA synthetase (EC 6.1.1.9)
prot_01042	FIG00000129	128	18	128	Valyl-tRNA synthetase (EC 6.1.1.9)
prot_01044	FIG00000129	211	30	211	Valyl-tRNA synthetase (EC 6.1.1.9)
prot_01045	FIG00000129	57	9	57	Valyl-tRNA synthetase (EC 6.1.1.9)
prot_01046	FIG00000298	154	23	154	GTP-binding protein EngB
prot_01047	FIG01195515	42	6	42	M. genitalium predicted coding region MG335.1
prot_01048	FIG00834426	181	25	181	Uncharacterized glycosyltransferase MG335.2 (EC 2.-.-.-)
prot_01049	FIG00834426	32	6	32	Uncharacterized glycosyltransferase MG335.2 (EC 2.-.-.-)
prot_01050	FIG00834426	29	4	29	Uncharacterized glycosyltransferase MG335.2 (EC 2.-.-.-)
prot_01053	FIG00836571	73	12	73	FIG00836572: hypothetical protein
prot_01054	FIG00836571	194	30	194	FIG00836572: hypothetical protein
prot_01055	FIG00836571	74	11	75	FIG00836572: hypothetical protein
prot_01056	FIG00229199	93	14	93	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily
prot_01057	FIG00229199	229	33	229	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily
prot_01058	FIG00000306	109	16	109	Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2
prot_01059	FIG00836571	37	6	37	FIG00836572: hypothetical protein
prot_01060	FIG00836571	134	20	135	FIG00836572: hypothetical protein
prot_01061	FIG00836571	28	5	28	FIG00836572: hypothetical protein
prot_01062	FIG00836571	43	7	43	FIG00836572: hypothetical protein
prot_01064	FIG00836571	164	25	164	FIG00836572: hypothetical protein
prot_01065	FIG00836571	199	30	199	FIG00836572: hypothetical protein
prot_01066	FIG00836571	77	12	77	FIG00836572: hypothetical protein
prot_01067	FIG00836571	35	5	35	FIG00836572: hypothetical protein
prot_01068	FIG00836571	82	11	82	FIG00836572: hypothetical protein
prot_01069	FIG00000234	243	39	243	RecA protein
prot_01070	FIG00834471	224	34	224	membrane nuclease
prot_01071	FIG00834471	55	7	55	membrane nuclease
prot_01072	FIG00133196	153	25	153	L-xylulose 5-phosphate 3-epimerase (EC 5.1.3.-)
prot_01073	FIG00005787	42	6	42	3-keto-L-gulonate 6-phosphate decarboxylase
prot_01074	FIG00005787	81	14	81	3-keto-L-gulonate 6-phosphate decarboxylase
prot_01075	FIG00005464	64	10	64	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)
prot_01076	FIG00002299	68	10	68	Ascorbate-specific PTS system, EIIB component (EC 2.7.1.69)
prot_01077	FIG00002002	21	4	21	Ascorbate-specific PTS system, EIIC component
prot_01078	FIG00002002	167	27	168	Ascorbate-specific PTS system, EIIC component
prot_01079	FIG00002002	99	16	99	Ascorbate-specific PTS system, EIIC component
prot_01080	FIG00002002	105	19	105	Ascorbate-specific PTS system, EIIC component
prot_01083	FIG01324117	94	16	94	parathion hydrolase
prot_01084	FIG01324117	9	2	10	parathion hydrolase
prot_01085	FIG00000986	201	29	201	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
prot_01099	FIG00836492	62	10	62	FIG00836494: hypothetical protein
prot_01100	FIG00836492	56	9	56	FIG00836494: hypothetical protein
prot_01103	FIG00837609	37	10	39	FIG00837614: hypothetical protein
prot_01104	FIG00837609	25	7	29	FIG00837614: hypothetical protein
prot_01105	FIG00837609	12	3	13	FIG00837614: hypothetical protein
prot_01106	FIG00000494	47	7	47	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_01107	FIG00000494	167	25	167	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_01108	FIG00836057	72	11	72	membrane export protein family
prot_01110	FIG00836057	47	7	47	membrane export protein family
prot_01111	FIG00836057	62	10	62	membrane export protein family
prot_01112	FIG00836057	110	16	110	membrane export protein family
prot_01113	FIG00836057	6	2	8	membrane export protein family
prot_01114	FIG00836057	61	10	61	membrane export protein family
prot_01115	FIG00836057	67	10	67	membrane export protein family
prot_01116	FIG00836057	69	9	69	membrane export protein family
prot_01118	FIG00836057	63	9	63	membrane export protein family
prot_01119	FIG00836057	95	14	95	membrane export protein family
prot_01122	FIG00836057	27	5	27	membrane export protein family
prot_01123	FIG00836057	122	18	122	membrane export protein family
prot_01124	FIG00836057	45	9	45	membrane export protein family
prot_01126	FIG00836057	104	15	104	membrane export protein family
prot_01129	FIG00836446	119	17	119	FIG00836448: hypothetical protein
prot_01132	FIG00000242	369	56	370	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
prot_01133	FIG00000242	544	83	544	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
prot_01135	FIG00000156	71	11	71	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
prot_01136	FIG00000156	281	43	281	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
prot_01137	FIG00000156	723	107	723	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
prot_01138	FIG01608260	133	19	133	suggest reductase homologue
prot_01140	FIG00834085	54	8	55	FIG00834086: hypothetical protein
prot_01141	FIG00834085	209	30	209	FIG00834086: hypothetical protein
prot_01142	FIG00834052	80	11	80	lipase/esterase, putative
prot_01143	FIG00834052	51	8	51	lipase/esterase, putative
prot_01144	FIG00834052	47	7	47	lipase/esterase, putative
prot_01145	FIG00000085	51	9	52	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_01146	FIG00000085	113	16	113	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_01147	FIG00000085	124	19	124	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_01148	FIG00000085	39	6	39	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_01149	FIG00000085	75	11	75	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_01150	FIG00000085	68	11	68	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_01151	FIG00001105	117	16	117	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)
prot_01152	FIG00002733	92	13	92	tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)
prot_01153	FIG00002733	68	11	68	tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)
prot_01154	FIG00834805	100	14	100	FIG00834811: hypothetical protein
prot_01155	FIG00834805	86	12	86	FIG00834811: hypothetical protein
prot_01158	FIG00835432	153	24	153	FIG00835435: hypothetical protein
prot_01159	FIG00836802	76	12	76	FIG00836804: hypothetical protein
prot_01161	FIG01315386	87	13	87	putative membrane integrated oxidoreductase
prot_01162	FIG01315386	48	8	48	putative membrane integrated oxidoreductase
prot_01163	FIG00000429	155	23	155	Inorganic pyrophosphatase (EC 3.6.1.1)
prot_01164	FIG01523437	102	15	102	recombination protein U
prot_01165	FIG01627730	76	12	76	bacterial histone like protein
prot_01166	FIG00835178	108	16	108	FIG00835180: hypothetical protein
prot_01167	FIG00025216	211	36	211	ClpB protein
prot_01168	FIG00025216	193	34	193	ClpB protein
prot_01169	FIG01444242	28	4	28	MGA_0931; [M] COG0510 Predicted choline kinase involved in LPS biosynthesis; pfam01636 Phosphotransferase enzyme family; MGR_183
prot_01170	FIG01444242	72	10	72	MGA_0931; [M] COG0510 Predicted choline kinase involved in LPS biosynthesis; pfam01636 Phosphotransferase enzyme family; MGR_183
prot_01171	FIG01444242	96	14	96	MGA_0931; [M] COG0510 Predicted choline kinase involved in LPS biosynthesis; pfam01636 Phosphotransferase enzyme family; MGR_183
prot_01172	FIG00067248	297	45	297	Acetate kinase (EC 2.7.2.1)
prot_01173	FIG00835674	37	6	37	FIG00835677: hypothetical protein
prot_01175	FIG00000314	166	25	166	Holliday junction DNA helicase RuvA
prot_01176	FIG00000352	235	34	235	Holliday junction DNA helicase RuvB
prot_01177	FIG00023943	185	27	185	DNA polymerase IV (EC 2.7.7.7)
prot_01178	FIG00023943	162	23	162	DNA polymerase IV (EC 2.7.7.7)
prot_01179	FIG00000159	116	18	116	LSU ribosomal protein L10p (P0)
prot_01180	FIG00000141	70	14	70	LSU ribosomal protein L7/L12 (P1/P2)
prot_01181	FIG00000213	65	10	65	SSU ribosomal protein S20p
prot_01182	FIG00834053	33	6	33	FIG00834055: hypothetical protein
prot_01183	FIG00834053	93	14	93	FIG00834055: hypothetical protein
prot_01184	FIG00000112	103	14	103	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
prot_01185	FIG00000112	45	7	45	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
prot_01186	FIG00834700	311	46	311	FIG00834704: hypothetical protein
prot_01188	FIG00834700	130	19	130	FIG00834704: hypothetical protein
prot_01189	FIG00000208	173	25	173	Ribonuclease III (EC 3.1.26.3)
prot_01190	FIG00000446	265	38	265	Phosphate:acyl-ACP acyltransferase PlsX
prot_01191	FIG00042616	303	46	303	Dihydroxyacetone kinase family protein
prot_01192	FIG00042616	138	21	138	Dihydroxyacetone kinase family protein
prot_01193	FIG00696679	88	13	88	Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)
prot_01194	FIG00696679	159	24	159	Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)
prot_01195		30	5	30	FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type
prot_01196		231	32	231	FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type
prot_01197	FIG00142893	25	5	25	tRNA S(4)U 4-thiouridine synthase (former ThiI)
prot_01198	FIG00142893	254	36	254	tRNA S(4)U 4-thiouridine synthase (former ThiI)
prot_01199	FIG00835488	167	25	168	FIG00835489: hypothetical protein
prot_01200	FIG00835488	43	6	43	FIG00835489: hypothetical protein
prot_01201	FIG00833935	172	27	172	FIG00833937: hypothetical protein
prot_01202	FIG00000101	63	10	63	Threonyl-tRNA synthetase (EC 6.1.1.3)
prot_01203	FIG00000101	69	11	69	Threonyl-tRNA synthetase (EC 6.1.1.3)
prot_01204	FIG00000101	150	20	150	Threonyl-tRNA synthetase (EC 6.1.1.3)
prot_01205	FIG00000101	128	18	128	Threonyl-tRNA synthetase (EC 6.1.1.3)
prot_01206	FIG00836181	32	5	32	FIG00836182: hypothetical protein
prot_01207	FIG00834863	160	23	160	FIG00834865: hypothetical protein
prot_01208	FIG00000088	220	31	221	Arginyl-tRNA synthetase (EC 6.1.1.19)
prot_01209	FIG00000088	216	31	216	Arginyl-tRNA synthetase (EC 6.1.1.19)
prot_01210	FIG00000576	468	72	468	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
prot_01211	FIG00000521	163	23	163	rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB
prot_01212	FIG00836195	31	6	31	FIG00836202: hypothetical protein
prot_01213	FIG00836195	64	9	64	FIG00836202: hypothetical protein
prot_01214	FIG00001104	350	51	350	Arginine deiminase (EC 3.5.3.6)
prot_01215	FIG00000995	46	7	46	Uridine kinase (EC 2.7.1.48)
prot_01216	FIG00000995	60	9	60	Uridine kinase (EC 2.7.1.48)
prot_01217	FIG00000995	32	5	32	Uridine kinase (EC 2.7.1.48)
prot_01218	FIG00000590	170	24	170	NAD synthetase (EC 6.3.1.5)
prot_01219	FIG00000169	312	46	312	GTP-binding protein Obg
prot_01221		81	13	81	Threonine dehydrogenase and related Zn-dependent dehydrogenases
prot_01222		27	5	27	Threonine dehydrogenase and related Zn-dependent dehydrogenases
prot_01223		62	9	62	Threonine dehydrogenase and related Zn-dependent dehydrogenases
prot_01224	FIG00834180	42	6	42	FIG00834182: hypothetical protein
prot_01225	FIG00834180	59	10	59	FIG00834182: hypothetical protein
prot_01226	FIG00002239	195	28	195	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
prot_01228	FIG01343177	103	16	103	similar to cyto adherence proteins
prot_01229	FIG01343177	297	48	297	similar to cyto adherence proteins
prot_01231	FIG01343177	135	21	135	similar to cyto adherence proteins
prot_01232	FIG01304818	106	15	106	GTP-binding protein Era
prot_01233	FIG01304818	113	19	113	GTP-binding protein Era
prot_01234	FIG00834066	90	12	90	FIG00834068: hypothetical protein
prot_01235	FIG00834066	38	6	38	FIG00834068: hypothetical protein
prot_01236	FIG00834019	42	7	42	FIG00834020: hypothetical protein
prot_01238	FIG00744535	16	5	17	ABC transporter, ATP-binding protein
prot_01239	FIG00744535	6	2	7	ABC transporter, ATP-binding protein
prot_01240	FIG00744535	6	4	7	ABC transporter, ATP-binding protein
prot_01241	FIG00000336	53	8	53	Cytosol aminopeptidase PepA (EC 3.4.11.1)
prot_01242	FIG00000336	280	42	280	Cytosol aminopeptidase PepA (EC 3.4.11.1)
prot_01243	FIG00000056	388	64	388	Heat shock protein 60 family chaperone GroEL
prot_01244	FIG00009229	75	12	75	Heat shock protein 60 family co-chaperone GroES
prot_01246	FIG00000040	60	10	60	Serine hydroxymethyltransferase (EC 2.1.2.1)
prot_01247	FIG00000040	175	27	175	Serine hydroxymethyltransferase (EC 2.1.2.1)
prot_01248	FIG00000040	55	9	55	Serine hydroxymethyltransferase (EC 2.1.2.1)
prot_01249	FIG00837443	53	8	53	FIG00837446: hypothetical protein
prot_01250	FIG00837443	176	26	176	FIG00837446: hypothetical protein
prot_01255	FIG00014764	100	15	100	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
prot_01256	FIG00014764	32	5	32	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
prot_01258	FIG01533811	37	6	37	FIG00837933: hypothetical protein
prot_01259	FIG01533811	30	4	30	FIG00837933: hypothetical protein
prot_01260	FIG01533811	149	22	149	FIG00837933: hypothetical protein
prot_01261	FIG01533811	9	3	11	FIG00837933: hypothetical protein
prot_01265	FIG01533811	41	6	42	FIG00837933: hypothetical protein
prot_01266	FIG01533811	52	8	52	FIG00837933: hypothetical protein
prot_01267	FIG00014764	104	15	104	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
prot_01268	FIG00014764	61	9	61	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
prot_01269	FIG01533811	31	5	31	FIG00837933: hypothetical protein
prot_01270	FIG00014764	12	3	15	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
prot_01272	FIG01533811	5	2	6	FIG00837933: hypothetical protein
prot_01274	FIG00014764	13	3	16	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
prot_01280	FIG01533811	3	2	4	FIG00837933: hypothetical protein
prot_01281	FIG01533811	5	2	6	FIG00837933: hypothetical protein
prot_01288	FIG01533811	89	14	91	FIG00837933: hypothetical protein
prot_01292	FIG00014764	21	5	22	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
prot_01293	FIG00836543	56	9	56	FIG00836546: hypothetical protein
prot_01294	FIG00836543	83	12	83	FIG00836546: hypothetical protein
prot_01295	FIG00014764	306	43	306	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
prot_01297	FIG01533811	6	2	12	FIG00837933: hypothetical protein
prot_01302	FIG00134342	112	17	112	Ribose 5-phosphate isomerase B (EC 5.3.1.6)
prot_01303	FIG00835180	456	67	456	FIG00835181: hypothetical protein
prot_01304	FIG00000249	98	16	98	ATP synthase epsilon chain (EC 3.6.3.14)
prot_01305	FIG00040241	290	47	290	ATP synthase beta chain (EC 3.6.3.14)
prot_01306	FIG00023994	127	17	127	ATP synthase gamma chain (EC 3.6.3.14)
prot_01307	FIG00023994	99	14	99	ATP synthase gamma chain (EC 3.6.3.14)
prot_01308		356	56	356	ATP synthase alpha chain (EC 3.6.3.14)
prot_01309	FIG00000262	136	21	136	ATP synthase delta chain (EC 3.6.3.14)
prot_01315	FIG01485802	76	11	76	FIG00834295: hypothetical protein
prot_01316	FIG00000118	331	52	331	Enolase (EC 4.2.1.11)
prot_01317	FIG00002199	116	18	116	Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)
prot_01318	FIG00104848	109	16	109	Phosphate transport system regulatory protein PhoU
prot_01319	FIG00104848	58	8	58	Phosphate transport system regulatory protein PhoU
prot_01320	FIG00011114	118	19	118	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
prot_01321	FIG00011114	77	14	77	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
prot_01322	FIG00135264	119	20	119	Phosphate transport system permease protein PstA (TC 3.A.1.7.1) / Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
prot_01323	FIG00135264	35	6	36	Phosphate transport system permease protein PstA (TC 3.A.1.7.1) / Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
prot_01324	FIG00135264	34	6	34	Phosphate transport system permease protein PstA (TC 3.A.1.7.1) / Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
prot_01325	FIG00135264	206	34	206	Phosphate transport system permease protein PstA (TC 3.A.1.7.1) / Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
prot_01326	FIG00136525	39	6	39	Putative periplasmic phosphate-binding protein PstS (Mycoplasma type)
prot_01327	FIG00136525	256	39	256	Putative periplasmic phosphate-binding protein PstS (Mycoplasma type)
prot_01329	FIG00834244	260	38	262	FIG00834245: hypothetical protein
prot_01330	FIG00834244	57	8	57	FIG00834245: hypothetical protein
prot_01331	FIG00834244	99	15	99	FIG00834245: hypothetical protein
prot_01332	FIG00834244	68	10	68	FIG00834245: hypothetical protein
prot_01334	FIG00834244	79	11	79	FIG00834245: hypothetical protein
prot_01335	FIG00834244	35	5	35	FIG00834245: hypothetical protein
prot_01336	FIG00834983	180	26	180	FIG00834984: hypothetical protein
prot_01337	FIG00834983	41	6	41	FIG00834984: hypothetical protein
prot_01341	FIG00000494	50	7	50	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_01342	FIG00001110	102	15	102	SSU ribosomal protein S9p (S16e)
prot_01343	FIG00000211	88	14	88	LSU ribosomal protein L13p (L13Ae)
prot_01344	FIG00000414	50	7	50	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
prot_01345	FIG00000414	468	69	468	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
prot_01346	FIG00000147	421	66	422	Excinuclease ABC subunit A
prot_01347	FIG00000147	83	14	83	Excinuclease ABC subunit A
prot_01348	FIG00000147	52	10	52	Excinuclease ABC subunit A
prot_01358	FIG00001316	485	68	485	Ribonuclease J2 (endoribonuclease in RNA processing)
prot_01359	FIG00000144	66	10	66	SSU ribosomal protein S15p (S13e)
prot_01360	FIG00836629	73	12	73	ATP-dependent RNA helicase DeaD
prot_01361	FIG00836629	270	39	270	ATP-dependent RNA helicase DeaD
prot_01363	FIG01379890	111	16	111	osmotical inducible protein C like family; inducable by osmotic stress and by organic hydroperoxides
prot_01364	FIG00835704	37	6	37	FIG00835707: hypothetical protein
prot_01365	FIG00835704	72	10	72	FIG00835707: hypothetical protein
prot_01366	FIG00028694	43	7	43	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)
prot_01367	FIG00028694	103	18	103	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)
prot_01368	FIG00028694	220	34	220	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)
prot_01369	FIG00000624	448	62	448	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)
prot_01370	FIG00000076	43	7	43	Triosephosphate isomerase (EC 5.3.1.1)
prot_01371	FIG00000076	110	17	110	Triosephosphate isomerase (EC 5.3.1.1)
prot_01372	FIG00834206	327	48	327	ABC TRANSPORTER PERMEASE PROTEIN
prot_01373	FIG00000191	23	4	23	Translation elongation factor Ts
prot_01374	FIG00000191	200	30	200	Translation elongation factor Ts
prot_01375	FIG00001819	179	27	179	Uridine monophosphate kinase (EC 2.7.4.22)
prot_01381	FIG00000202	130	19	130	Ribosome recycling factor
prot_01382	FIG00000097	27	4	27	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
prot_01383	FIG00000097	40	7	40	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
prot_01384	FIG00000097	132	19	132	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
prot_01385	FIG00000097	35	5	35	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
prot_01386	FIG01351511	130	19	130	specificity determining subunit for restriction enzyme belonging to the K family of S proteins
prot_01387	FIG01351511	141	21	141	specificity determining subunit for restriction enzyme belonging to the K family of S proteins
prot_01390	FIG00835378	94	15	94	Uncharacterized lipoprotein MG439 homolog 5 precursor
prot_01391	FIG00835378	40	7	41	Uncharacterized lipoprotein MG439 homolog 5 precursor
prot_01392	FIG00835378	34	7	34	Uncharacterized lipoprotein MG439 homolog 5 precursor
prot_01393	FIG00837394	31	5	31	FIG00837396: hypothetical protein
prot_01394	FIG00837394	151	24	151	FIG00837396: hypothetical protein
prot_01395	FIG00835378	89	13	89	Uncharacterized lipoprotein MG439 homolog 5 precursor
prot_01396	FIG00835378	101	16	101	Uncharacterized lipoprotein MG439 homolog 5 precursor
prot_01397	FIG00837394	124	18	124	FIG00837396: hypothetical protein
prot_01398	FIG00837394	35	7	35	FIG00837396: hypothetical protein
prot_01402	FIG00834182	106	15	106	FIG00834188: hypothetical protein
prot_01403	FIG00834182	56	8	56	FIG00834188: hypothetical protein
prot_01404	FIG00834182	31	6	31	FIG00834188: hypothetical protein
prot_01405	FIG00837394	157	22	157	FIG00837396: hypothetical protein
prot_01406	FIG00837394	38	7	38	FIG00837396: hypothetical protein
prot_01416	FIG00837501	27	5	27	PTS system mannitol-specific EIICB component (EIICB-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (PTS system mannitol-specific EIIB component)]
