prot_00001	FIG00042616	94	13	94	Dihydroxyacetone kinase family protein
prot_00809	FIG01304601	114	19	114	Exonuclease SbcC
prot_00811	FIG01195602	31	5	31	FIG01195603: hypothetical protein
prot_00813	FIG01195602	31	5	32	FIG01195603: hypothetical protein
prot_00814	FIG01195602	50	7	50	FIG01195603: hypothetical protein
prot_00815	FIG01195602	19	4	19	FIG01195603: hypothetical protein
prot_00816	FIG01195864	74	12	74	FIG01195869: hypothetical protein
prot_00817	FIG00000249	109	17	109	ATP synthase epsilon chain (EC 3.6.3.14)
prot_00818	FIG00040241	281	46	281	ATP synthase beta chain (EC 3.6.3.14)
prot_00819	FIG00023994	232	33	232	ATP synthase gamma chain (EC 3.6.3.14)
prot_00820	FIG01195506	41	7	41	FIG01195507: hypothetical protein
prot_00821	FIG01195506	34	5	34	FIG01195507: hypothetical protein
prot_00822	FIG01195506	10	2	10	FIG01195507: hypothetical protein
prot_00823	FIG00000082	42	7	42	ATP synthase alpha chain (EC 3.6.3.14)
prot_00824	FIG00000082	293	46	293	ATP synthase alpha chain (EC 3.6.3.14)
prot_00825	FIG00000082	184	28	184	ATP synthase alpha chain (EC 3.6.3.14)
prot_00826	FIG00000262	78	12	78	ATP synthase delta chain (EC 3.6.3.14)
prot_00827	FIG00000262	129	20	129	ATP synthase delta chain (EC 3.6.3.14)
prot_00828	FIG00720022	16	5	16	ATP synthase F0 sector subunit b (EC 3.6.3.14)
prot_00829	FIG00720022	17	3	17	ATP synthase F0 sector subunit b (EC 3.6.3.14)
prot_00830	FIG01970034	62	12	62	ATP synthase F0 sector subunit c (EC 3.6.3.14)
prot_00832	FIG01195481	76	13	76	conserved hypothetical - cytochrome b
prot_00833	FIG01195697	95	14	95	FIG01195698: hypothetical protein
prot_00834	FIG01195697	51	7	51	FIG01195698: hypothetical protein
prot_00835	FIG00026918	31	5	31	Chromosome partition protein smc
prot_00836	FIG00026918	74	11	74	Chromosome partition protein smc
prot_00837	FIG00026918	52	9	52	Chromosome partition protein smc
prot_00838	FIG00026918	101	16	101	Chromosome partition protein smc
prot_00839	FIG00026918	151	25	151	Chromosome partition protein smc
prot_00840	FIG00026918	159	26	159	Chromosome partition protein smc
prot_00841	FIG00000095	52	8	52	Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)
prot_00842	FIG00000095	43	10	43	Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)
prot_00843	FIG00000095	80	12	80	Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)
prot_00844	FIG00001470	70	10	70	Signal recognition particle associated protein
prot_00845	FIG01196152	241	33	241	FIG01196153: hypothetical protein
prot_00846	FIG01196152	33	6	33	FIG01196153: hypothetical protein
prot_00848	FIG01196152	79	13	79	FIG01196153: hypothetical protein
prot_00849	FIG01195601	146	23	146	FIG01195602: hypothetical protein
prot_00852	FIG01195601	62	9	62	FIG01195602: hypothetical protein
prot_00854		77	13	77	FIG01195588: hypothetical protein
prot_00855	FIG01195587	99	16	99	FIG01195588: hypothetical protein
prot_00856	FIG00672005	49	8	49	hydrolase, haloacid dehalogenase-like family
prot_00857	FIG00672005	32	5	32	hydrolase, haloacid dehalogenase-like family
prot_00858	FIG00672005	98	15	98	hydrolase, haloacid dehalogenase-like family
prot_00859		248	35	248	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)
prot_00860	FIG00646655	72	11	72	Regulatory protein spx
prot_00861	FIG00000075	28	4	28	NAD kinase (EC 2.7.1.23)
prot_00862	FIG00000075	138	20	138	NAD kinase (EC 2.7.1.23)
prot_00863	FIG01195764	94	15	94	PTS system glucose-specific enzyme IIB component
prot_00864	FIG01195909	60	9	60	FIG01195910: hypothetical protein
prot_00865	FIG01280345	71	11	71	LSU m3Psi1915 methyltransferase RlmH
prot_00866	FIG00000076	138	20	138	Triosephosphate isomerase (EC 5.3.1.1)
prot_00867	FIG00000076	49	7	49	Triosephosphate isomerase (EC 5.3.1.1)
prot_00868	FIG00000624	101	14	101	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)
prot_00869	FIG00000624	267	37	267	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)
prot_00870	FIG01195444	64	9	64	FIG01195446: hypothetical protein
prot_00871	FIG00000118	225	34	225	Enolase (EC 4.2.1.11)
prot_00872	FIG00000118	87	14	87	Enolase (EC 4.2.1.11)
prot_00873	FIG00058830	152	22	152	6-phosphofructokinase (EC 2.7.1.11)
prot_00874	FIG00058830	24	4	24	6-phosphofructokinase (EC 2.7.1.11)
prot_00875	FIG00000043	390	56	390	Pyruvate kinase (EC 2.7.1.40)
prot_00876	FIG00000156	386	56	386	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
prot_00877	FIG00000156	339	49	339	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
prot_00878	FIG00000156	246	40	246	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
prot_00879	FIG00000156	65	9	65	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
prot_00880	FIG00000242	43	7	43	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
prot_00881	FIG00000242	51	8	51	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
prot_00882	FIG00000242	122	20	122	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
prot_00883	FIG00000242	17	4	17	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
prot_00884	FIG00000242	188	27	188	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
prot_00885	FIG00000242	363	56	363	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
prot_00886	FIG01195763	127	19	127	MBA N-terminal paralog
prot_00887	FIG01195546	62	10	62	UPF0230 protein MG450 homolog
prot_00888	FIG01195546	40	8	40	UPF0230 protein MG450 homolog
prot_00889	FIG01195546	94	14	94	UPF0230 protein MG450 homolog
prot_00890	FIG00006002	123	19	123	Phenylalanyl-tRNA synthetase domain protein (Bsu YtpR)
prot_00891	FIG00096830	100	15	100	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
prot_00892	FIG00096830	137	21	137	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
prot_00893	FIG00001477	91	14	91	Ribonuclease M5 (EC 3.1.26.8)
prot_00894	FIG00001477	27	4	27	Ribonuclease M5 (EC 3.1.26.8)
prot_00895	FIG00000260	150	21	150	rRNA small subunit methyltransferase I
prot_00896	FIG01360707	325	48	325	ATPase, AAA family
prot_00897	FIG01265301	67	10	67	Methionyl-tRNA synthetase (EC 6.1.1.10)
prot_00898	FIG01265301	95	14	95	Methionyl-tRNA synthetase (EC 6.1.1.10)
prot_00900	FIG01265301	102	15	102	Methionyl-tRNA synthetase (EC 6.1.1.10)
prot_00901		64	10	64	Putative periplasmic phosphate-binding protein PstS (Mycoplasma type)
prot_00902	FIG01268090	67	10	67	Putative periplasmic phosphate-binding protein PstS (Mycoplasma type)
prot_00904		33	5	33	Putative periplasmic phosphate-binding protein PstS (Mycoplasma type)
prot_00905	FIG00135264	180	26	180	Phosphate transport system permease protein PstA (TC 3.A.1.7.1) / Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
prot_00906	FIG00135264	31	5	31	Phosphate transport system permease protein PstA (TC 3.A.1.7.1) / Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
prot_00907		46	7	46	Phosphate transport system permease protein PstA (TC 3.A.1.7.1) / Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
prot_00908	FIG01259619	39	6	39	Phosphate transport system permease protein PstA (TC 3.A.1.7.1) / Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
prot_00909		49	7	49	Phosphate transport system permease protein PstA (TC 3.A.1.7.1) / Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
prot_00910	FIG00011114	31	5	31	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
prot_00911	FIG00011114	62	11	62	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
prot_00912	FIG00011114	26	5	26	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
prot_00913	FIG00104848	60	8	60	Phosphate transport system regulatory protein PhoU
prot_00914	FIG00104848	41	7	41	Phosphate transport system regulatory protein PhoU
prot_00915	FIG01195562	61	9	61	unique hypothetical
prot_00916	FIG00658111	43	7	43	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
prot_00917	FIG01196144	40	6	40	FIG01196145: hypothetical protein
prot_00918	FIG00658111	154	23	154	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
prot_00919	FIG00658111	265	39	265	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
prot_00920		31	5	31	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
prot_00921	FIG00000144	62	10	62	SSU ribosomal protein S15p (S13e)
prot_00922	FIG00000208	176	24	176	Ribonuclease III (EC 3.1.26.3)
prot_00923	FIG00000446	197	29	197	Phosphate:acyl-ACP acyltransferase PlsX
prot_00924	FIG00000446	38	6	38	Phosphate:acyl-ACP acyltransferase PlsX
prot_00925	FIG00042616	468	67	468	Dihydroxyacetone kinase family protein
prot_00926	FIG00000370	63	11	63	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
prot_00927	FIG01195586	61	9	61	FIG01195587: hypothetical protein
prot_00928	FIG01195586	43	6	43	FIG01195587: hypothetical protein
prot_00929	FIG01195586	44	6	44	FIG01195587: hypothetical protein
prot_00930	FIG00007256	29	4	29	FIG139598: Potential ribosomal protein
prot_00931	FIG00007256	29	4	29	FIG139598: Potential ribosomal protein
prot_00932	FIG00000276	77	11	77	LSU ribosomal protein L21p
prot_00933	FIG00000131	50	8	50	Guanylate kinase (EC 2.7.4.8)
prot_00934	FIG00000293	149	23	149	Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)
prot_00935	FIG00000293	36	6	36	Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)
prot_00936	FIG00134722	201	30	201	Protein serine/threonine phosphatase PrpC, regulation of stationary phase
prot_00937	FIG00134246	198	31	198	Serine/threonine protein kinase PrkC, regulator of stationary phase, short form
prot_00939	FIG00134246	42	6	42	Serine/threonine protein kinase PrkC, regulator of stationary phase, short form
prot_00940	FIG00000464	225	33	225	Ribosome small subunit-stimulated GTPase EngC
prot_00941	FIG00004764	33	7	33	Ammonium transporter
prot_00942	FIG00004764	71	11	71	Ammonium transporter
prot_00943	FIG00004764	32	7	32	Ammonium transporter
prot_00945	FIG00004764	108	16	108	Ammonium transporter
prot_00946	FIG01195456	165	23	165	unique hypothetical membrane lipoprotein
prot_00947	FIG01195456	60	9	61	unique hypothetical membrane lipoprotein
prot_00948	FIG01195456	109	16	109	unique hypothetical membrane lipoprotein
prot_00949	FIG00000877	427	63	427	Formate--tetrahydrofolate ligase (EC 6.3.4.3)
prot_00950	FIG01195869	137	20	137	Tyrosine recombinase xerD
prot_00951	FIG01195488	22	5	23	FIG01195489: hypothetical protein
prot_00953	FIG01195488	28	5	28	FIG01195489: hypothetical protein
prot_00956	FIG01195488	27	5	27	FIG01195489: hypothetical protein
prot_00957	FIG01195763	290	43	290	MBA N-terminal paralog
prot_00958		24	5	24	unique hypothetical membrane lipoprotein
prot_00959		39	7	39	unique hypothetical membrane lipoprotein
prot_00960	FIG01195456	55	9	55	unique hypothetical membrane lipoprotein
prot_00961	FIG01195740	15	3	15	FIG01195741: hypothetical protein
prot_00962	FIG01195740	21	3	22	FIG01195741: hypothetical protein
prot_00963	FIG01195740	32	5	32	FIG01195741: hypothetical protein
prot_00964	FIG00000206	99	15	99	Translation initiation factor 3
prot_00965	FIG00000206	43	6	43	Translation initiation factor 3
prot_00966	FIG00000259	52	7	52	LSU ribosomal protein L35p
prot_00967	FIG00000216	30	5	30	LSU ribosomal protein L20p
prot_00968	FIG00001107	80	12	80	SSU ribosomal protein S10p (S20e)
prot_00969	FIG00001818	185	27	185	LSU ribosomal protein L3p (L3e)
prot_00970		43	7	43	LSU ribosomal protein L4p (L1e)
prot_00971	FIG00000263	75	11	75	LSU ribosomal protein L4p (L1e)
prot_00972	FIG00000271	87	12	87	LSU ribosomal protein L23p (L23Ae)
prot_00973	FIG00000223	181	30	181	LSU ribosomal protein L2p (L8e)
prot_00974	FIG00149335	32	5	32	LSU ribosomal protein L22p (L17e) / COG4933, hypothetical protein
prot_00975		62	9	62	SSU ribosomal protein S3p (S3e)
prot_00976	FIG00001132	29	4	29	LSU ribosomal protein L16p (L10e)
prot_00977	FIG00015729	47	8	47	LSU ribosomal protein L29p (L35e)
prot_00978	FIG00000181	50	8	50	SSU ribosomal protein S17p (S11e)
prot_00979	FIG00090781	81	13	81	LSU ribosomal protein L14p (L23e)
prot_00980	FIG00000198	87	13	87	LSU ribosomal protein L24p (L26e)
prot_00981	FIG00000174	64	11	64	LSU ribosomal protein L5p (L11e)
prot_00982	FIG01306462	31	6	31	SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent
prot_00983	FIG00000153	104	16	104	SSU ribosomal protein S8p (S15Ae)
prot_00984	FIG00001577	61	10	61	LSU ribosomal protein L6p (L9e)
prot_00985	FIG00000200	27	5	27	LSU ribosomal protein L18p (L5e)
prot_00986	FIG00000155	152	25	152	SSU ribosomal protein S5p (S2e)
prot_00987	FIG00000166	118	17	118	LSU ribosomal protein L15p (L27Ae)
prot_00988	FIG00937056	244	38	244	Preprotein translocase secY subunit (TC 3.A.5.1.1)
prot_00989	FIG00937056	26	4	26	Preprotein translocase secY subunit (TC 3.A.5.1.1)
prot_00990	FIG00000089	90	15	90	Adenylate kinase (EC 2.7.4.3)
prot_00991	FIG00000089	69	10	69	Adenylate kinase (EC 2.7.4.3)
prot_00992	FIG00000036	121	18	121	Methionine aminopeptidase (EC 3.4.11.18)
prot_00993	FIG00000143	54	9	54	Translation initiation factor 1
prot_00995	FIG00000160	101	16	101	SSU ribosomal protein S13p (S18e)
prot_00996	FIG01368619	32	6	32	SSU ribosomal protein S11p (S14e)
prot_00997	FIG00000140	87	13	87	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
prot_00998	FIG00000140	167	26	167	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
prot_00999		77	11	77	LSU ribosomal protein L17p
prot_01000	FIG01196260	71	11	71	FIG01196262: hypothetical protein
prot_01001	FIG01196260	206	30	206	FIG01196262: hypothetical protein
prot_01002	FIG01196260	101	15	101	FIG01196262: hypothetical protein
prot_01003	FIG01195456	114	18	114	unique hypothetical membrane lipoprotein
prot_01004	FIG01195456	41	6	41	unique hypothetical membrane lipoprotein
prot_01005	FIG01195456	81	12	81	unique hypothetical membrane lipoprotein
prot_01006	FIG01195456	44	6	44	unique hypothetical membrane lipoprotein
prot_01008	FIG00000605	159	23	159	FIG000605: protein co-occurring with transport systems (COG1739)
prot_01009	FIG01195753	36	5	36	FIG01195755: hypothetical protein
prot_01010	FIG01195753	84	13	84	FIG01195755: hypothetical protein
prot_01011	FIG01195753	91	14	91	FIG01195755: hypothetical protein
prot_01012	FIG01322067	12	2	12	Cation-transporting ATPase, E1-E2 family
prot_01013	FIG01322067	93	15	93	Cation-transporting ATPase, E1-E2 family
prot_01014	FIG01322067	23	5	23	Cation-transporting ATPase, E1-E2 family
prot_01015	FIG01322067	159	26	159	Cation-transporting ATPase, E1-E2 family
prot_01016	FIG01195515	77	12	77	M. genitalium predicted coding region MG335.1
prot_01017	FIG00000298	161	23	161	GTP-binding protein EngB
prot_01018	FIG00000129	50	8	50	Valyl-tRNA synthetase (EC 6.1.1.9)
prot_01019	FIG00000129	31	4	31	Valyl-tRNA synthetase (EC 6.1.1.9)
prot_01020	FIG00000129	141	20	141	Valyl-tRNA synthetase (EC 6.1.1.9)
prot_01021	FIG00000129	41	7	41	Valyl-tRNA synthetase (EC 6.1.1.9)
prot_01022	FIG00000129	78	12	78	Valyl-tRNA synthetase (EC 6.1.1.9)
prot_01023	FIG00001105	150	21	150	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)
prot_01024	FIG00002733	88	14	88	tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)
prot_01025	FIG00002733	43	7	43	tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)
prot_01026	FIG01410900	10	2	11	unique hypothetical
prot_01027	FIG01728478	38	6	39	unique hypothetical
prot_01028	FIG01735817	15	3	16	unique hypothetical
prot_01029	FIG01195665	117	17	117	FIG01195667: hypothetical protein
prot_01030	FIG01195665	146	24	146	FIG01195667: hypothetical protein
prot_01036	FIG01195464	49	8	49	FIG01195466: hypothetical protein
prot_01037	FIG01195456	57	9	57	unique hypothetical membrane lipoprotein
prot_01038	FIG00000387	92	13	92	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
prot_01039	FIG00000387	185	26	185	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
prot_01040	FIG00000178	32	6	32	SSU ribosomal protein S21p
prot_01041	FIG00000088	128	19	128	Arginyl-tRNA synthetase (EC 6.1.1.19)
prot_01042	FIG00000088	73	11	73	Arginyl-tRNA synthetase (EC 6.1.1.19)
prot_01043	FIG00000088	47	8	47	Arginyl-tRNA synthetase (EC 6.1.1.19)
prot_01044	FIG00000088	98	14	98	Arginyl-tRNA synthetase (EC 6.1.1.19)
prot_01045	FIG00054459	110	16	110	Phosphoglycerate kinase (EC 2.7.2.3)
prot_01046	FIG00054459	215	32	215	Phosphoglycerate kinase (EC 2.7.2.3)
prot_01047	FIG01320119	269	41	269	M42 glutamyl aminopeptidase, cellulase
prot_01049	FIG00000659	144	22	144	Purine nucleoside phosphorylase (EC 2.4.2.1)
prot_01050	FIG00615494	65	10	65	DNA-binding protein HU
prot_01051	FIG00005237	37	6	37	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
prot_01052	FIG00005237	119	18	119	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
prot_01054	FIG00005237	42	7	42	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
prot_01055	FIG00005237	42	6	42	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
prot_01056	FIG00005237	34	6	34	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
prot_01057	FIG00000176	187	27	187	CTP synthase (EC 6.3.4.2)
prot_01058	FIG00000176	31	5	31	CTP synthase (EC 6.3.4.2)
prot_01059	FIG00000176	75	11	75	CTP synthase (EC 6.3.4.2)
prot_01060	FIG00000176	37	6	37	CTP synthase (EC 6.3.4.2)
prot_01061	FIG00000087	64	9	64	Histidyl-tRNA synthetase (EC 6.1.1.21)
prot_01062	FIG00000087	48	8	48	Histidyl-tRNA synthetase (EC 6.1.1.21)
prot_01063	FIG00000087	169	25	169	Histidyl-tRNA synthetase (EC 6.1.1.21)
prot_01064	FIG00000750	229	34	229	Aspartyl-tRNA synthetase (EC 6.1.1.12)
prot_01065	FIG00000750	104	15	104	Aspartyl-tRNA synthetase (EC 6.1.1.12)
prot_01066	FIG00834270	54	9	56	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_01067	FIG01196092	30	5	30	unique hypothetical
prot_01068	FIG00002199	44	7	44	Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)
prot_01069	FIG01481193	3	4	5	Transcriptional regulator, TetR family
prot_01071	FIG01196179	44	7	44	FIG01196183: hypothetical protein
prot_01072	FIG01196179	137	22	137	FIG01196183: hypothetical protein
prot_01073	FIG01196179	158	28	158	FIG01196183: hypothetical protein
prot_01074	FIG01196179	25	5	25	FIG01196183: hypothetical protein
prot_01075	FIG01196179	453	74	454	FIG01196183: hypothetical protein
prot_01076	FIG01196179	150	25	150	FIG01196183: hypothetical protein
prot_01079	FIG01196814	17	6	20	unique hypothetical
prot_01081	FIG00000859	97	14	97	FIG000859: hypothetical protein YebC
prot_01082	FIG01195841	19	5	21	unique hypothetical
prot_01083	FIG01195688	119	16	119	Recombination protein U homolog
prot_01084	FIG00000177	86	12	86	Translation elongation factor P
prot_01085	FIG00000177	26	4	26	Translation elongation factor P
prot_01086	FIG00834270	40	8	41	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_01087	FIG00016836	34	5	34	Transcription termination protein NusB
prot_01088	FIG00000248	71	10	71	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)
prot_01089	FIG00000248	39	6	39	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)
prot_01090	FIG01461526	16	3	17	unique hypothetical
prot_01091	FIG01663677	11	2	12	unique hypothetical
prot_01097	FIG00000288	31	5	31	Transcription elongation factor GreA
prot_01098	FIG00000648	131	20	131	tRNA (adenine37-N(6))-methyltransferase TrmN6 (EC 2.1.1.223)
prot_01099	FIG00000899	264	38	264	Endonuclease IV (EC 3.1.21.2)
prot_01100	FIG00001402	55	8	55	Helicase loader DnaI
prot_01101	FIG00001402	142	22	142	Helicase loader DnaI
prot_01102	FIG00001402	27	4	27	Helicase loader DnaI
prot_01103	FIG01195679	164	24	164	Hypothetical protein UU308
prot_01104	FIG01195679	27	4	27	Hypothetical protein UU308
prot_01105	FIG00834270	25	6	26	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_01106	FIG00000213	71	10	71	SSU ribosomal protein S20p
prot_01107	FIG00122145	120	17	120	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)
prot_01108	FIG00000247	163	23	163	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA
prot_01109	FIG00000124	240	35	240	Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)
prot_01110	FIG00000081	35	6	35	Lipoprotein signal peptidase (EC 3.4.23.36)
prot_01111	FIG00000081	49	9	49	Lipoprotein signal peptidase (EC 3.4.23.36)
prot_01112	FIG00000429	92	13	92	Inorganic pyrophosphatase (EC 3.6.1.1)
prot_01113	FIG01617172	4	2	6	unique hypothetical
prot_01114	FIG01195778	55	8	55	FIG01195782: hypothetical protein
prot_01115	FIG01195778	88	13	88	FIG01195782: hypothetical protein
prot_01116	FIG01195778	46	7	46	FIG01195782: hypothetical protein
prot_01117	FIG01195778	64	10	64	FIG01195782: hypothetical protein
prot_01119	FIG01195778	155	22	155	FIG01195782: hypothetical protein
prot_01120	FIG01195778	155	23	155	FIG01195782: hypothetical protein
prot_01121	FIG01195778	48	8	48	FIG01195782: hypothetical protein
prot_01123	FIG00000168	112	17	112	Transcription termination protein NusA
prot_01124	FIG00000168	42	6	42	Transcription termination protein NusA
prot_01125	FIG00834270	8	3	10	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_01126	FIG00000102	360	56	360	Translation initiation factor 2
prot_01127	FIG00000102	86	12	86	Translation initiation factor 2
prot_01128	FIG00000164	47	9	47	Ribosome-binding factor A
prot_01129	FIG01195456	26	4	26	unique hypothetical membrane lipoprotein
prot_01130	FIG00002849	58	9	58	Putative predicted metal-dependent hydrolase
prot_01131	FIG00000165	479	72	479	Translation elongation factor LepA
prot_01132	FIG01322660	29	4	29	LemA PROTEIN
prot_01133	FIG01322660	68	10	68	LemA PROTEIN
prot_01135	FIG00834270	44	8	47	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_01137	FIG00106663	51	8	51	DNA polymerase III delta subunit (EC 2.7.7.7)
prot_01138	FIG00106663	158	22	158	DNA polymerase III delta subunit (EC 2.7.7.7)
prot_01139	FIG01196609	30	5	31	unique hypothetical
prot_01140	FIG01632342	45	9	47	unique hypothetical
prot_01141	FIG01632342	44	9	45	unique hypothetical
prot_01142	FIG00051957	61	10	61	Substrate-specific component FolT of folate ECF transporter
prot_01143	FIG00051957	49	9	49	Substrate-specific component FolT of folate ECF transporter
prot_01144	FIG00051957	91	13	91	Substrate-specific component FolT of folate ECF transporter
prot_01146	FIG00834270	27	4	28	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_01148	FIG00000995	69	11	69	Uridine kinase (EC 2.7.1.48)
prot_01149	FIG00000995	40	7	40	Uridine kinase (EC 2.7.1.48)
prot_01151	FIG00834270	24	5	25	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_01152	FIG01196478	70	11	70	FIG01196479: hypothetical protein
prot_01153	FIG01196478	338	50	338	FIG01196479: hypothetical protein
prot_01154	FIG01195604	101	15	101	FIG01195605: hypothetical protein
prot_01155	FIG01195604	40	8	40	FIG01195605: hypothetical protein
prot_01156	FIG01195604	79	14	79	FIG01195605: hypothetical protein
prot_01157	FIG00000105	230	32	230	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)
prot_01158	FIG00834270	74	15	76	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_01159	FIG00023369	120	21	120	Chaperone protein DnaK
prot_01160	FIG00023369	274	45	274	Chaperone protein DnaK
prot_01161	FIG01448387	28	5	28	Phospholipid-binding protein
prot_01162	FIG01448387	34	6	34	Phospholipid-binding protein
prot_01163	FIG01351068	142	21	142	Phospholipid-binding protein
prot_01165	FIG01727647	18	5	19	unique hypothetical
prot_01166	FIG00041008	171	26	171	Cytidylate kinase (EC 2.7.4.25)
prot_01167	FIG00834270	39	8	41	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_01168	FIG00005243	194	28	194	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
prot_01169	FIG00019652	246	35	246	Segregation and condensation protein A
prot_01171	FIG00133569	87	15	88	Segregation and condensation protein B
prot_01173	FIG00000286	129	19	129	Cell division trigger factor (EC 5.2.1.8)
prot_01174	FIG00000286	65	12	65	Cell division trigger factor (EC 5.2.1.8)
prot_01175	FIG00132617	242	37	242	ATP-dependent protease La (EC 3.4.21.53) Type I
prot_01176	FIG00132617	354	55	354	ATP-dependent protease La (EC 3.4.21.53) Type I
prot_01177	FIG00038814	200	29	200	RNA polymerase sigma factor RpoD
prot_01178	FIG00038814	136	20	136	RNA polymerase sigma factor RpoD
prot_01179	FIG00008776	189	26	189	Putative tRNA-m1A22 methylase
prot_01182	FIG01195893	85	13	85	FIG01195894: hypothetical protein
prot_01183	FIG01195456	103	15	103	unique hypothetical membrane lipoprotein
prot_01185	FIG01195456	44	6	44	unique hypothetical membrane lipoprotein
prot_01186	FIG01016270	48	7	48	tRNA pseudouridine synthase B (EC 4.2.1.70)
prot_01187	FIG01016270	52	7	52	tRNA pseudouridine synthase B (EC 4.2.1.70)
prot_01188	FIG00000220	238	34	238	Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)
prot_01189		44	8	44	FIG01195671: hypothetical protein
prot_01191		77	12	77	FIG01195671: hypothetical protein
prot_01193	FIG01196039	28	5	28	Ferrichrome transport system permease protein FhuG
prot_01196	FIG01195670	34	6	34	FIG01195671: hypothetical protein
prot_01197	FIG01195670	125	19	125	FIG01195671: hypothetical protein
prot_01198	FIG01195670	57	8	57	FIG01195671: hypothetical protein
prot_01199	FIG01374018	55	8	55	FIG01195671: hypothetical protein
prot_01200	FIG01195846	58	9	58	Unidentified iron compound ABC uptake transporter permease protein
prot_01202	FIG01195846	29	5	29	Unidentified iron compound ABC uptake transporter permease protein
prot_01203	FIG01195846	16	3	16	Unidentified iron compound ABC uptake transporter permease protein
